fname,frame_no,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,label
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,0.0,1607.0,423.0,2289.0,400.0,2318.0,405.0,1763.0,400.0,,,2247.0,144.0,2232.0,130.0,2247.0,117.0,2275.0,445.0,2247.0,468.0,2048.0,531.0,2247.0,445.0,2232.0,472.0,2048.0,531.0,2304.0,162.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,15.0,2275.0,130.0,2275.0,153.0,2076.0,535.0,2247.0,135.0,,,2247.0,144.0,2232.0,135.0,2247.0,121.0,2161.0,544.0,,,,,2147.0,540.0,,,,,2119.0,535.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,30.0,2275.0,130.0,1678.0,418.0,2247.0,522.0,,,,,2247.0,144.0,2232.0,135.0,2247.0,121.0,2261.0,499.0,,,2062.0,531.0,2304.0,184.0,,,2048.0,531.0,2289.0,162.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,45.0,2275.0,135.0,2275.0,153.0,2247.0,148.0,2247.0,144.0,,,2247.0,148.0,2232.0,139.0,2247.0,121.0,2232.0,522.0,,,2048.0,531.0,2318.0,184.0,,,2048.0,531.0,2304.0,166.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,60.0,1991.0,526.0,2062.0,531.0,2090.0,535.0,2147.0,535.0,,,2247.0,148.0,2232.0,135.0,2247.0,126.0,2346.0,175.0,,,2232.0,513.0,2304.0,184.0,2247.0,522.0,2232.0,517.0,2289.0,162.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,75.0,2261.0,135.0,2275.0,153.0,2289.0,153.0,1692.0,234.0,,,2247.0,148.0,2232.0,139.0,2247.0,121.0,2332.0,175.0,,,2048.0,531.0,2289.0,180.0,2261.0,198.0,2048.0,531.0,2289.0,162.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,90.0,,,1649.0,418.0,1621.0,423.0,,,,,1635.0,418.0,,,,,,,,,2048.0,531.0,2375.0,171.0,,,2048.0,531.0,1678.0,418.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,105.0,1607.0,423.0,1664.0,418.0,1635.0,423.0,,,,,1692.0,414.0,,,,,,,2161.0,544.0,2048.0,531.0,2375.0,166.0,,,2062.0,535.0,1678.0,423.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,120.0,1607.0,423.0,1664.0,418.0,1692.0,414.0,,,,,1635.0,418.0,2688.0,270.0,,,2161.0,540.0,,,2048.0,531.0,1706.0,414.0,2048.0,351.0,2048.0,531.0,1678.0,418.0,normal
./data/train/C021_A18_SY15_P07_S12_03NAS.mp4,135.0,2247.0,130.0,1664.0,418.0,1692.0,414.0,2218.0,135.0,,,2218.0,144.0,2204.0,130.0,2218.0,121.0,,,,,2048.0,531.0,2261.0,184.0,,,2048.0,531.0,2261.0,166.0,normal
